"time","diff_return_algotoria","diff_return_meritocratio","diff_return_krishna_tz","diff_return_n","diff_return_multi_knife","diff_return_low_risk","diff_return_bourbaki_pro","diff_return_syndicate","diff_return_crypto_hunter","diff_return_edan","diff_return_bourbaki_ultra","diff_return_utopia","diff_return_optimal_a","diff_return_crypto_trend_usdt","diff_return_phoenix","diff_return_trend_team"
"2025-01-03 18:00",-0.00776223,0.0,0.01193202,-0.12733279,0.0,-0.00256551,0.0,0.0,0.00008818,0.00561476,0.0,-0.010701,0.00157257,-0.35345903,-0.00622022,0.00307598
"2025-01-03 19:00",0.01218296,0.0,-0.00199821,0.08116082,0.0,0.00465003,0.0,0.0,-0.00000195,0.01700805,0.0,0.03486164,0.00237588,0.03983695,0.00181833,0.07507489
"2025-01-03 20:00",0.00621863,0.0,-0.00920503,0.02965005,0.0,0.00149903,0.0,0.0,0.0,0.0020833,0.0,0.01916265,0.00135333,0.01231964,0.00191117,-0.05974945
"2025-01-03 21:00",-0.00777526,0.0,0.00994835,-0.0443393,0.00600045,-0.00340032,0.0,0.0,0.00485162,-0.00927309,0.0,-0.02373428,-0.00222327,-0.02820145,-0.00474221,-0.0058227
"2025-01-03 22:00",0.00551012,0.0,-0.01422073,0.01894592,-0.00557832,0.00277832,0.0,0.0,0.00019957,-0.00158992,0.0,0.01494366,0.00074397,0.01381032,-0.00164412,-0.00099487
"2025-01-03 23:00",0.00091345,0.0,-0.00093034,0.00411996,-0.000003,0.0250975,0.0,0.0,0.00003695,0.00122914,0.0,0.001791,-0.0019062,0.00397147,0.00123254,0.00076866
"2025-01-04 00:00",-0.00054054,0.0,0.00071049,-0.01231155,0.00592234,-0.02373017,0.0,0.0,-0.00010173,-0.00383551,0.0,-0.00792996,-0.00013224,-0.00569957,-0.00175249,-0.00239969
"2025-01-04 01:00",-0.00865971,0.0,0.00297931,-0.02358898,-0.00594623,0.0051647,0.0,0.0,-0.00033712,-0.0080168,0.0,-0.00664475,0.00102033,-0.01375551,-0.00863114,-0.00500849
"2025-01-04 02:00",-0.00150674,0.0,-0.00508793,-0.00690475,0.00000948,-0.00984753,0.0,0.0,-0.00407449,0.00262229,0.0,-0.00704513,-0.00065591,-0.00107305,0.00306988,0.0016737
"2025-01-04 03:00",0.00345543,0.0,0.00249485,0.01231189,0.00016706,0.003894,0.0,0.0,0.00011889,0.00948473,0.0,-0.00024659,0.00080883,0.0073684,0.00335459,0.00591326
"2025-01-04 04:00",0.00190913,0.0,-0.00107225,-0.00236496,0.00013236,0.00575743,0.0,0.0,0.00478762,-0.0040078,0.0,0.00197321,0.00174275,-0.00087501,0.00037328,-0.00250754
